time_of_day,dte,strike_mode,adjustment_setting,wing,fill_package,n,mean,median,ci_lo,ci_hi,p5,worst,worst_date,sortino_per_cycle,mdd,surf_wing_pct
15:00,3,B10,none,OFF,taker,11,0.983027,1.859878,0.017353,1.850389,-1.875092,-2.060836,2025-09-23,1.208495,2.060836,0.00
15:00,3,B10,none,OFF,maker,11,0.959021,1.852208,-0.059536,1.792994,-1.915358,-2.091514,2025-09-23,1.155542,2.091514,0.00
15:00,3,B15,none,OFF,maker,11,0.684043,2.611774,-1.042269,2.263700,-3.977558,-4.567049,2026-01-27,0.366607,4.567049,0.00
15:00,3,B15,none,OFF,taker,11,0.681134,2.611774,-1.043023,2.276411,-3.977558,-4.567049,2026-01-27,0.364637,4.567049,0.00
15:00,3,B10,none,4000,taker,11,0.311181,0.438151,-0.518939,1.061491,-2.119173,-2.228277,2025-09-23,0.335725,2.228277,27.27
15:00,3,B10,none,4000,maker,11,0.281875,0.438151,-0.581217,1.019559,-2.167769,-2.258955,2025-09-23,0.297557,2.258955,27.27
15:00,3,B10,none,3000,taker,11,0.294703,0.841797,-0.604220,1.057065,-2.321114,-2.484797,2025-09-23,0.288189,2.484797,81.82
15:00,3,B10,none,3000,maker,11,0.272970,0.841797,-0.637755,1.030617,-2.361380,-2.515476,2025-09-23,0.262733,2.515476,81.82
15:00,0,A150,none,1000,taker,386,0.108974,0.410062,0.014989,0.199606,-1.961619,-3.192674,2026-02-27,0.146206,16.776614,1.30
15:00,0,A200,none,1000,taker,386,0.109689,0.393458,0.014356,0.205795,-1.961619,-3.192674,2026-02-27,0.145591,15.264491,1.04
15:00,0,A300,none,1000,taker,386,0.108107,0.386984,0.008011,0.203636,-2.011658,-3.192674,2026-02-27,0.144022,13.038547,0.26
15:00,0,A300,none,OFF,taker,386,0.125797,0.405491,0.009654,0.238120,-1.952247,-6.139766,2026-02-27,0.137578,16.775038,0.00
15:00,0,A200,none,OFF,taker,386,0.122383,0.409815,0.011772,0.231895,-1.952247,-6.139766,2026-02-27,0.135206,17.449028,0.00
15:00,0,B40,none,OFF,taker,386,0.120324,0.395185,0.004614,0.230240,-1.952247,-6.446550,2026-02-27,0.132909,20.202324,0.00
15:00,0,B40,none,1000,taker,386,0.100498,0.377674,0.001254,0.197666,-2.011658,-3.481965,2026-02-27,0.132566,17.309714,0.52
13:00,0,B30,none,OFF,taker,386,0.154791,0.471264,0.007051,0.296328,-2.641050,-6.882690,2026-03-04,0.131679,22.791362,0.00
15:00,0,A150,none,OFF,taker,386,0.116947,0.425663,0.004458,0.222184,-1.952247,-6.139766,2026-02-27,0.131125,19.025682,0.00
13:00,0,B20,none,OFF,taker,386,0.137637,0.469723,0.008428,0.256929,-2.180313,-6.518887,2026-03-04,0.130117,21.547722,0.00
13:00,0,B25,none,1000,taker,386,0.112733,0.457130,0.000485,0.220966,-2.624242,-3.570747,2026-02-14,0.125807,13.166829,1.81
13:00,0,A300,none,OFF,taker,386,0.151944,0.436805,-0.008561,0.304761,-3.014965,-7.118280,2025-10-01,0.122057,26.720775,0.00
