basket_id,arm,ts_ist,spot,spot_move_pct_from_entry,short_call_mark,short_put_mark,prot_call_mark,prot_put_mark,shorts_mtm,protection_mtm,net_mtm_cost_adjusted,pct_of_net_credit
1,q100_pr3_tp20_dd10_off2000_po0_cut1729_sdte1,2026-06-01 09:00:00,73946.0,0.0,117.42445187,121.40392163,16.02599814,12.10820792,-0.2838701344372808,-0.47802545788693673,0.0,0.0
1,q100_pr3_tp20_dd10_off2000_po0_cut1729_sdte1,2026-06-01 10:00:00,73400.5,-0.737700484137073,57.64009307,212.52759093,7.07731626,33.15923741,-3.4178011844372804,3.152678825113065,0.4967732330000021,3.383857117254019
1,q100_pr3_tp20_dd10_off2000_po0_cut1729_sdte1,2026-06-01 11:00:00,73340.5,-0.8188407757011874,53.75598371,222.17937079,4.12573652,29.90808628,-3.9945682344372813,1.291859564113064,-1.9408130779999992,-13.220185209233986
1,q100_pr3_tp20_dd10_off2000_po0_cut1729_sdte1,2026-06-01 12:00:00,73146.0,-1.0818705541881914,39.7430932,273.58939671,1.79697801,39.31809131,-7.734281775437282,3.416233520113064,-3.5561526629999993,-24.22335121814892
1,q100_pr3_tp20_dd10_off2000_po0_cut1729_sdte1,2026-06-01 13:00:00,72930.5,-1.3732994347226355,34.27687706,368.61488346,1.02771104,62.20256662,-16.69020883643728,10.050796022113065,-5.877517221999996,-40.035728904595935
1,q100_pr3_tp20_dd10_off2000_po0_cut1729_sdte1,2026-06-01 14:00:00,72621.5,-1.7911719362778245,10.37113924,422.07525226,0.1,91.70617573,-19.645671934437285,18.623565443113062,-0.2602108990000054,-1.7724717115912547
1,q100_pr3_tp20_dd10_off2000_po0_cut1729_sdte1,2026-06-01 14:44:00,72947.5,-1.3503096854461363,16.25723442,282.70286299,0.1,14.73314081,-6.297042525437284,-4.468345032886936,-10.003491966000004,-68.14052214955463
2,q100_pr3_tp20_dd10_off2000_po0_cut1729_sdte1,2026-06-02 09:00:00,70907.0,0.0,92.79104546,92.56229924,4.96774623,17.1905747,-1.0497733290942861,-0.376489796299193,0.0,0.0
2,q100_pr3_tp20_dd10_off2000_po0_cut1729_sdte1,2026-06-02 10:00:00,70915.0,0.011282383967732382,81.46345445,82.07788606,2.01684444,6.84423492,1.131427089905715,-4.365662267299193,-1.8079720519999984,-17.2820253227823
2,q100_pr3_tp20_dd10_off2000_po0_cut1729_sdte1,2026-06-02 11:00:00,70562.0,-0.48655280860845895,57.80798865,117.0825523,0.92081907,9.8872474,-0.0034929540942854054,-3.781566134299193,-2.3587959629999986,-22.54723546127176
2,q100_pr3_tp20_dd10_off2000_po0_cut1729_sdte1,2026-06-02 12:00:00,70394.5,-0.7227777229328557,42.09955178,128.7965171,0.58459186,8.0208063,0.3959542529057156,-4.442366627299193,-2.620149248999998,-25.04545665990584
2,q100_pr3_tp20_dd10_off2000_po0_cut1729_sdte1,2026-06-02 13:00:00,69914.5,-1.3997207609967985,19.42309781,237.82190988,0.51264987,25.26340256,-8.238939628094284,0.7088296537008067,-6.103846848999998,-58.34539073439338
2,q100_pr3_tp20_dd10_off2000_po0_cut1729_sdte1,2026-06-02 14:00:00,70029.0,-1.238241640458629,12.73839607,188.68382163,0.1,6.78352812,-2.6566606290942882,-4.958927639299193,-6.189325143000001,-59.16245980347669
2,q100_pr3_tp20_dd10_off2000_po0_cut1729_sdte1,2026-06-02 14:37:00,69683.5,-1.7254995980650711,6.92407716,283.71681061,0.1,23.34658327,-11.578527636094284,0.009988905700806905,-10.142275604999998,-96.9478834821321
